locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHKFPPHE_00741	CDS	366		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
AHKFPPHE_00742	CDS	723	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
AHKFPPHE_00743	CDS	888	pstB	3.6.3.27		Phosphate import ATP-binding protein PstB
AHKFPPHE_00744	CDS	1278				hypothetical protein
AHKFPPHE_00745	CDS	1389				hypothetical protein
AHKFPPHE_00746	CDS	1047	sphX		COG0226	Protein SphX
AHKFPPHE_00747	CDS	405		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
AHKFPPHE_00748	CDS	1095				hypothetical protein
AHKFPPHE_00749	CDS	1176				hypothetical protein
AHKFPPHE_00750	CDS	798	fetB		COG0390	putative iron export permease protein FetB
AHKFPPHE_00751	CDS	609	cysA_3	3.6.3.25	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
AHKFPPHE_00752	CDS	672				hypothetical protein
AHKFPPHE_00753	CDS	1212				hypothetical protein
AHKFPPHE_00754	CDS	1005	gap3	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 3
AHKFPPHE_00755	CDS	765	arsC	3.1.3.48		Protein ArsC
AHKFPPHE_00756	CDS	720	arsH	1.-.-.-	COG0431	NADPH-dependent FMN reductase ArsH
AHKFPPHE_00757	CDS	1065	acr3		COG0798	Arsenical-resistance protein Acr3
AHKFPPHE_00758	CDS	1197	srpC		COG2059	putative chromate transport protein
AHKFPPHE_00759	CDS	798	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
AHKFPPHE_00760	CDS	2166	uvrD	3.6.4.12	COG0210	DNA helicase II
AHKFPPHE_00761	CDS	1212	bcr_1			Bicyclomycin resistance protein
AHKFPPHE_00762	CDS	813	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
AHKFPPHE_00763	CDS	990	yfhA		COG0609	putative siderophore transport system permease protein YfhA
AHKFPPHE_00764	CDS	1023	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
AHKFPPHE_00765	CDS	960	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
AHKFPPHE_00766	CDS	954	pgrR			HTH-type transcriptional regulator PgrR
AHKFPPHE_00767	CDS	2022	cirA_1		COG4771	Colicin I receptor
AHKFPPHE_00768	CDS	867	yclQ		COG4607	putative ABC transporter solute-binding protein YclQ
AHKFPPHE_00769	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
AHKFPPHE_00770	CDS	156				hypothetical protein
AHKFPPHE_00771	CDS	759	parA			Chromosome partitioning protein ParA
AHKFPPHE_00772	CDS	3534				Bacteriohemerythrin
AHKFPPHE_00773	CDS	669	estB	3.1.1.1	COG0400	Carboxylesterase 2
AHKFPPHE_00774	CDS	1236	mtr			Tryptophan-specific transport protein
AHKFPPHE_00775	CDS	477		1.11.1.15		Peroxiredoxin
AHKFPPHE_00776	CDS	396				hypothetical protein
AHKFPPHE_00777	CDS	285				hypothetical protein
AHKFPPHE_00778	tRNA	76				tRNA-Phe(gaa)
AHKFPPHE_00779	CDS	273			COG2924	putative Fe(2+)-trafficking protein
AHKFPPHE_00780	CDS	1065	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
AHKFPPHE_00781	CDS	2268				hypothetical protein
AHKFPPHE_00782	CDS	462				hypothetical protein
AHKFPPHE_00783	CDS	594	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
AHKFPPHE_00784	CDS	639	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
AHKFPPHE_00785	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
AHKFPPHE_00786	CDS	774	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
AHKFPPHE_00787	CDS	819				hypothetical protein
AHKFPPHE_00788	CDS	1401				hypothetical protein
AHKFPPHE_00789	CDS	1137	envC		COG4942	Murein hydrolase activator EnvC
AHKFPPHE_00790	CDS	1662	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
AHKFPPHE_00791	CDS	417	yibN		COG0607	putative protein YibN
AHKFPPHE_00792	CDS	498	secB		COG1952	Protein-export protein SecB
AHKFPPHE_00793	CDS	465	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
AHKFPPHE_00794	CDS	1179	phaA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
AHKFPPHE_00795	CDS	741	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AHKFPPHE_00796	CDS	1119	cca		COG0617	Multifunctional CCA protein
AHKFPPHE_00797	CDS	459	csdE		COG2166	Sulfur acceptor protein CsdE
AHKFPPHE_00798	CDS	543				hypothetical protein
AHKFPPHE_00799	CDS	357	sufA		COG0316	Protein SufA
AHKFPPHE_00800	CDS	1254	sufS	2.8.1.7	COG0520	Cysteine desulfurase
AHKFPPHE_00801	CDS	1284	sufD		COG0719	FeS cluster assembly protein SufD
AHKFPPHE_00802	CDS	762	sufC		COG0396	putative ATP-dependent transporter SufC
AHKFPPHE_00803	CDS	1449	sufB		COG0719	FeS cluster assembly protein SufB
AHKFPPHE_00804	CDS	1320	pyrK_1			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
AHKFPPHE_00805	CDS	1314	ydcP	3.4.-.-	COG0826	putative protease YdcP
AHKFPPHE_00806	CDS	357	virS_1			HTH-type transcriptional regulator VirS
AHKFPPHE_00807	CDS	1212	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
AHKFPPHE_00808	CDS	510	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
AHKFPPHE_00809	CDS	516				hypothetical protein
AHKFPPHE_00810	CDS	1185				hypothetical protein
AHKFPPHE_00811	CDS	369				hypothetical protein
AHKFPPHE_00812	CDS	822				hypothetical protein
AHKFPPHE_00813	CDS	1134				hypothetical protein
AHKFPPHE_00814	CDS	747				hypothetical protein
AHKFPPHE_00815	CDS	600		1.6.5.2		NAD(P)H dehydrogenase (quinone)
AHKFPPHE_00816	CDS	714				hypothetical protein
AHKFPPHE_00817	CDS	1515	nirS_1	1.7.2.1	COG2010	Nitrite reductase
AHKFPPHE_00818	CDS	864	cysG_2		COG0007	Siroheme synthase
AHKFPPHE_00819	CDS	1200	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
AHKFPPHE_00820	CDS	525				hypothetical protein
AHKFPPHE_00821	CDS	501				hypothetical protein
AHKFPPHE_00822	CDS	546				hypothetical protein
AHKFPPHE_00823	CDS	465				hypothetical protein
AHKFPPHE_00824	CDS	1725	nirS_2	1.7.2.1	COG2010	Nitrite reductase
AHKFPPHE_00825	CDS	120				hypothetical protein
AHKFPPHE_00826	CDS	369				hypothetical protein
AHKFPPHE_00827	CDS	1203				hypothetical protein
AHKFPPHE_00828	CDS	762				hypothetical protein
AHKFPPHE_00829	CDS	783	nirQ		COG0714	Denitrification regulatory protein NirQ
AHKFPPHE_00830	CDS	375				hypothetical protein
AHKFPPHE_00831	CDS	240				hypothetical protein
AHKFPPHE_00832	CDS	576	ctaE_1	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
AHKFPPHE_00833	CDS	1824				hypothetical protein
AHKFPPHE_00834	CDS	951				hypothetical protein
AHKFPPHE_00835	CDS	1416	norB	1.7.2.5		Nitric oxide reductase subunit B
AHKFPPHE_00836	CDS	450	norC		COG2010	Nitric oxide reductase subunit C
AHKFPPHE_00837	CDS	918				hypothetical protein
AHKFPPHE_00838	CDS	912	czcD_1			Metal cation efflux system protein CzcD
AHKFPPHE_00839	CDS	897	zitB_1			Zinc transporter ZitB
AHKFPPHE_00840	CDS	501				hypothetical protein
AHKFPPHE_00841	CDS	1521	cry2		COG0415	Cryptochrome-like protein cry2
AHKFPPHE_00842	CDS	810	gph_2	3.1.3.18		Phosphoglycolate phosphatase
AHKFPPHE_00843	CDS	1245				hypothetical protein
AHKFPPHE_00844	CDS	1533	phrB_2	4.1.99.13	COG3046	(6-4) photolyase
AHKFPPHE_00845	CDS	1410	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
AHKFPPHE_00846	CDS	1680				hypothetical protein
AHKFPPHE_00847	CDS	135				hypothetical protein
AHKFPPHE_00848	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
AHKFPPHE_00849	CDS	894				hypothetical protein
AHKFPPHE_00850	CDS	1986	mepB_1		COG0841	Multidrug/solvent efflux pump membrane transporter MepB
AHKFPPHE_00851	CDS	294				hypothetical protein
AHKFPPHE_00852	CDS	543				hypothetical protein
AHKFPPHE_00853	CDS	1323	mdtA_1			Multidrug resistance protein MdtA
AHKFPPHE_00854	CDS	639	slmA_2			Nucleoid occlusion factor SlmA
AHKFPPHE_00855	CDS	1332	hmp	1.14.12.17		Flavohemoprotein
AHKFPPHE_00856	CDS	204				hypothetical protein
AHKFPPHE_00857	CDS	1179	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
AHKFPPHE_00858	CDS	498				hypothetical protein
AHKFPPHE_00859	CDS	660	narL		COG2197	Nitrate/nitrite response regulator protein NarL
AHKFPPHE_00860	CDS	1857	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
AHKFPPHE_00861	CDS	1254				hypothetical protein
AHKFPPHE_00862	CDS	750			COG0664	Cyclic AMP receptor protein
AHKFPPHE_00863	CDS	2166				hypothetical protein
AHKFPPHE_00864	CDS	1896	nosZ	1.7.2.4		Nitrous-oxide reductase
AHKFPPHE_00865	CDS	1269	nosD			putative ABC transporter binding protein NosD
AHKFPPHE_00866	CDS	933	nosF		COG1131	putative ABC transporter ATP-binding protein NosF
AHKFPPHE_00867	CDS	831	nosY		COG1277	putative ABC transporter permease protein NosY
AHKFPPHE_00868	CDS	633	nosL			Copper-binding lipoprotein NosL
AHKFPPHE_00869	CDS	993	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
AHKFPPHE_00870	CDS	393				hypothetical protein
AHKFPPHE_00871	CDS	438	nsrR		COG1959	HTH-type transcriptional repressor NsrR
AHKFPPHE_00872	CDS	1098	desA3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
AHKFPPHE_00873	CDS	1107		1.-.-.-	COG1018	NADPH oxidoreductase
AHKFPPHE_00874	CDS	597	fabR_1		COG1309	HTH-type transcriptional repressor FabR
AHKFPPHE_00875	CDS	1446		2.3.1.20		Putative diacyglycerol O-acyltransferase
AHKFPPHE_00876	CDS	465				hypothetical protein
AHKFPPHE_00877	CDS	396				hypothetical protein
AHKFPPHE_00878	CDS	672	qseB_1			Transcriptional regulatory protein QseB
AHKFPPHE_00879	CDS	1332				hypothetical protein
AHKFPPHE_00880	CDS	1566				hypothetical protein
AHKFPPHE_00881	CDS	1296				hypothetical protein
AHKFPPHE_00882	CDS	1923				hypothetical protein
AHKFPPHE_00883	CDS	660	tpm	2.1.1.67		Thiopurine S-methyltransferase
AHKFPPHE_00884	CDS	936	hprA	1.1.1.29	COG1052	Glycerate dehydrogenase
AHKFPPHE_00885	CDS	1356				hypothetical protein
AHKFPPHE_00886	CDS	1050				hypothetical protein
AHKFPPHE_00887	CDS	1230				hypothetical protein
AHKFPPHE_00888	CDS	735	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
AHKFPPHE_00889	CDS	1350	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
AHKFPPHE_00890	CDS	489				hypothetical protein
AHKFPPHE_00891	CDS	747	glnQ_2			Glutamine transport ATP-binding protein GlnQ
AHKFPPHE_00892	CDS	672	glnP		COG0765	Glutamine transport system permease protein GlnP
AHKFPPHE_00893	CDS	759	glnH		COG0834	Glutamine-binding periplasmic protein
AHKFPPHE_00894	CDS	870	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
AHKFPPHE_00895	CDS	1383	ahcY	3.3.1.1		Adenosylhomocysteinase
AHKFPPHE_00896	CDS	1191	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
AHKFPPHE_00897	CDS	1002	ubiG_3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
AHKFPPHE_00898	CDS	2001	tktA	2.2.1.1	COG0021	Transketolase 1
AHKFPPHE_00899	CDS	1080	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
AHKFPPHE_00900	CDS	1161	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
AHKFPPHE_00901	CDS	1065	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
AHKFPPHE_00902	CDS	1062			COG4307	putative protein
AHKFPPHE_00903	CDS	1461			COG2308	putative protein
AHKFPPHE_00904	CDS	939				hypothetical protein
AHKFPPHE_00905	CDS	3303				hypothetical protein
AHKFPPHE_00906	CDS	2505			COG2307	putative protein
AHKFPPHE_00907	CDS	954			COG1305	putative protein
AHKFPPHE_00908	CDS	615				hypothetical protein
AHKFPPHE_00909	CDS	654				hypothetical protein
AHKFPPHE_00910	CDS	2073				hypothetical protein
AHKFPPHE_00911	CDS	687				hypothetical protein
AHKFPPHE_00912	CDS	1194	ydhP_1		COG2814	Inner membrane transport protein YdhP
AHKFPPHE_00913	CDS	252				hypothetical protein
AHKFPPHE_00914	CDS	1095	cbpA		COG2214	Curved DNA-binding protein
AHKFPPHE_00915	CDS	345	cbpM			Chaperone modulatory protein CbpM
AHKFPPHE_00916	CDS	177				hypothetical protein
AHKFPPHE_00917	CDS	402				hypothetical protein
AHKFPPHE_00918	CDS	732				hypothetical protein
AHKFPPHE_00919	CDS	858				hypothetical protein
AHKFPPHE_00920	CDS	399				hypothetical protein
AHKFPPHE_00921	CDS	1170				hypothetical protein
AHKFPPHE_00922	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
AHKFPPHE_00923	CDS	732				hypothetical protein
AHKFPPHE_00924	CDS	1020	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
AHKFPPHE_00925	CDS	735				hypothetical protein
AHKFPPHE_00926	CDS	948				hypothetical protein
AHKFPPHE_00927	CDS	2220	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AHKFPPHE_00928	CDS	1059				hypothetical protein
AHKFPPHE_00929	CDS	1029				hypothetical protein
AHKFPPHE_00930	CDS	549	gloA_1	4.4.1.5		Lactoylglutathione lyase
AHKFPPHE_00931	CDS	948				hypothetical protein
AHKFPPHE_00932	CDS	273				hypothetical protein
AHKFPPHE_00933	CDS	1314	amiC_1			Aliphatic amidase expression-regulating protein
AHKFPPHE_00934	CDS	1605				hypothetical protein
AHKFPPHE_00935	CDS	1134				hypothetical protein
AHKFPPHE_00936	CDS	825	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AHKFPPHE_00937	CDS	699	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
AHKFPPHE_00938	CDS	897	ureD		COG0829	Urease accessory protein UreD
AHKFPPHE_00939	CDS	303	ureA	3.5.1.5		Urease subunit gamma
AHKFPPHE_00940	CDS	318	ureB1	3.5.1.5		Urease subunit beta 1
AHKFPPHE_00941	CDS	1803	ureC	3.5.1.5		Urease subunit alpha
AHKFPPHE_00942	CDS	576	ureE			Urease accessory protein UreE
AHKFPPHE_00943	CDS	690	ureF		COG0830	Urease accessory protein UreF
AHKFPPHE_00944	CDS	639	ureG		COG0378	Urease accessory protein UreG
AHKFPPHE_00945	CDS	576				hypothetical protein
AHKFPPHE_00946	CDS	249				hypothetical protein
AHKFPPHE_00947	CDS	1173				hypothetical protein
AHKFPPHE_00948	CDS	267	ybiI_1		COG1734	putative protein YbiI
AHKFPPHE_00949	CDS	336				hypothetical protein
AHKFPPHE_00950	CDS	288				hypothetical protein
AHKFPPHE_00951	CDS	456				hypothetical protein
AHKFPPHE_00952	CDS	378				hypothetical protein
AHKFPPHE_00953	CDS	909				hypothetical protein
AHKFPPHE_00954	CDS	93				hypothetical protein
AHKFPPHE_00955	CDS	441	trxC	1.8.1.8	COG0526	Thioredoxin 2
AHKFPPHE_00956	CDS	303				hypothetical protein
AHKFPPHE_00957	CDS	267	ybiI_2		COG1734	putative protein YbiI
AHKFPPHE_00958	CDS	489				hypothetical protein
AHKFPPHE_00959	CDS	309				hypothetical protein
AHKFPPHE_00960	CDS	456				hypothetical protein
AHKFPPHE_00961	CDS	570	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
AHKFPPHE_00962	CDS	381				hypothetical protein
AHKFPPHE_00963	CDS	483	slyD_3	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
AHKFPPHE_00964	CDS	279				hypothetical protein
AHKFPPHE_00965	CDS	1764	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
AHKFPPHE_00966	CDS	393				hypothetical protein
AHKFPPHE_00967	CDS	498				hypothetical protein
AHKFPPHE_00968	CDS	597				hypothetical protein
AHKFPPHE_00969	CDS	162				hypothetical protein
AHKFPPHE_00970	CDS	207	cspE_2		COG1278	Cold shock-like protein CspE
AHKFPPHE_00971	CDS	1917				hypothetical protein
AHKFPPHE_00972	CDS	930	apaH_2	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
AHKFPPHE_00973	CDS	588				hypothetical protein
AHKFPPHE_00974	CDS	273				hypothetical protein
AHKFPPHE_00975	CDS	333				hypothetical protein
AHKFPPHE_00976	CDS	210				hypothetical protein
AHKFPPHE_00977	CDS	2115	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
AHKFPPHE_00978	CDS	348				hypothetical protein
AHKFPPHE_00979	CDS	1242				hypothetical protein
AHKFPPHE_00980	CDS	1008				hypothetical protein
AHKFPPHE_00981	CDS	459				hypothetical protein
AHKFPPHE_00982	CDS	180				hypothetical protein
AHKFPPHE_00983	CDS	1152				hypothetical protein
AHKFPPHE_00984	CDS	351				hypothetical protein
AHKFPPHE_00985	CDS	750				hypothetical protein
AHKFPPHE_00986	CDS	153				hypothetical protein
AHKFPPHE_00987	tRNA	74				tRNA-Cys(gca)
AHKFPPHE_00988	tRNA	76				tRNA-Gly(gcc)
AHKFPPHE_00989	CDS	744				hypothetical protein
AHKFPPHE_00990	CDS	1002	thiB		COG4143	Thiamine-binding periplasmic protein
AHKFPPHE_00991	CDS	1683				hypothetical protein
AHKFPPHE_00992	CDS	615	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
AHKFPPHE_00993	CDS	1149				hypothetical protein
AHKFPPHE_00994	CDS	816	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
AHKFPPHE_00995	CDS	942				hypothetical protein
AHKFPPHE_00996	CDS	609				hypothetical protein
AHKFPPHE_00997	CDS	549	pgsA_1	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
AHKFPPHE_00998	CDS	1860	uvrC		COG0322	UvrABC system protein C
AHKFPPHE_00999	CDS	660	gacA			Response regulator GacA
AHKFPPHE_01000	CDS	252				hypothetical protein
AHKFPPHE_01001	CDS	705				hypothetical protein
AHKFPPHE_01002	CDS	336				hypothetical protein
AHKFPPHE_01003	CDS	405				hypothetical protein
AHKFPPHE_01004	CDS	648	cc4_2		COG2863	Cytochrome c4
AHKFPPHE_01005	CDS	1014				hypothetical protein
AHKFPPHE_01006	CDS	816				hypothetical protein
AHKFPPHE_01007	CDS	1137				hypothetical protein
AHKFPPHE_01008	tRNA	91				tRNA-Ser(gga)
AHKFPPHE_01009	CDS	531	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
AHKFPPHE_01010	CDS	663				hypothetical protein
AHKFPPHE_01011	CDS	1200	rfnT			Riboflavin transporter RfnT
AHKFPPHE_01012	CDS	705				hypothetical protein
AHKFPPHE_01013	CDS	582				hypothetical protein
AHKFPPHE_01014	CDS	609				hypothetical protein
AHKFPPHE_01015	CDS	1878	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
AHKFPPHE_01016	CDS	2637				hypothetical protein
AHKFPPHE_01017	CDS	2037	ligA	6.5.1.2	COG0272	DNA ligase
AHKFPPHE_01018	CDS	993	zipA			Cell division protein ZipA
AHKFPPHE_01019	CDS	3495	smc_1			Chromosome partition protein Smc
AHKFPPHE_01020	CDS	681				hypothetical protein
AHKFPPHE_01021	CDS	963	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
AHKFPPHE_01022	CDS	612	scpB		COG1386	Segregation and condensation protein B 
AHKFPPHE_01023	CDS	828	scpA		COG1354	Segregation and condensation protein A
AHKFPPHE_01024	CDS	1215				hypothetical protein
AHKFPPHE_01025	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
AHKFPPHE_01026	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
AHKFPPHE_01027	CDS	1443	lpd	1.8.1.4		Dihydrolipoyl dehydrogenase
AHKFPPHE_01028	CDS	1215	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
AHKFPPHE_01029	CDS	2838	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
AHKFPPHE_01030	CDS	705	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
AHKFPPHE_01031	CDS	1773	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
AHKFPPHE_01032	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
AHKFPPHE_01033	CDS	378	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
AHKFPPHE_01034	CDS	1275	gltA	2.3.3.16	COG0372	Citrate synthase
AHKFPPHE_01035	CDS	870	Hgd	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
AHKFPPHE_01036	CDS	2640	topA	5.99.1.2	COG0550	DNA topoisomerase 1
AHKFPPHE_01037	CDS	1176	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
AHKFPPHE_01038	CDS	2148	fadB_1			Fatty acid oxidation complex subunit alpha
AHKFPPHE_01039	CDS	819				hypothetical protein
AHKFPPHE_01040	CDS	432	uspA2		COG0589	Universal stress protein A 
AHKFPPHE_01041	CDS	1929	uup		COG0488	ABC transporter ATP-binding protein uup
AHKFPPHE_01042	CDS	798	ycbX		COG0633	putative protein YcbX
AHKFPPHE_01043	tRNA	76				tRNA-Gly(gcc)
AHKFPPHE_01044	CDS	603				hypothetical protein
AHKFPPHE_01045	CDS	378				hypothetical protein
AHKFPPHE_01046	CDS	903			COG1090	Epimerase family protein
AHKFPPHE_01047	tRNA	76				tRNA-Glu(ttc)
AHKFPPHE_01048	CDS	153				hypothetical protein
AHKFPPHE_01049	CDS	2415				hypothetical protein
AHKFPPHE_01050	CDS	1185	ackA	2.7.2.1	COG0282	Acetate kinase
AHKFPPHE_01051	CDS	2154	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
AHKFPPHE_01052	CDS	1422	der_1		COG1160	GTPase Der
AHKFPPHE_01053	CDS	1170	bamB		COG1520	Outer membrane protein assembly factor BamB
AHKFPPHE_01054	CDS	657				hypothetical protein
AHKFPPHE_01055	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
AHKFPPHE_01056	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
AHKFPPHE_01057	CDS	1002	rodZ		COG1426	Cytoskeleton protein RodZ
AHKFPPHE_01058	CDS	804				hypothetical protein
AHKFPPHE_01059	CDS	1110	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
AHKFPPHE_01060	CDS	429	ndk	2.7.4.6		Nucleoside diphosphate kinase
AHKFPPHE_01061	CDS	1149	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
AHKFPPHE_01062	CDS	498	iscR		COG1959	HTH-type transcriptional regulator IscR
AHKFPPHE_01063	CDS	780	cysE	2.3.1.30	COG1045	Serine acetyltransferase
AHKFPPHE_01064	CDS	861	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
AHKFPPHE_01065	CDS	801	suhB_2	3.1.3.25	COG0483	Inositol-1-monophosphatase
AHKFPPHE_01066	CDS	954	secF		COG0341	Protein translocase subunit SecF
AHKFPPHE_01067	CDS	1875	secD		COG0342	Protein translocase subunit SecD
AHKFPPHE_01068	CDS	363				hypothetical protein
AHKFPPHE_01069	CDS	1140	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
AHKFPPHE_01070	CDS	1101	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
AHKFPPHE_01071	tRNA	87				tRNA-Leu(caa)
AHKFPPHE_01072	CDS	582	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
AHKFPPHE_01073	CDS	1443				hypothetical protein
AHKFPPHE_01074	CDS	819	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
AHKFPPHE_01075	CDS	774	yadH_2		COG0842	Inner membrane transport permease YadH
AHKFPPHE_01076	CDS	951	yadG_2		COG1131	putative ABC transporter ATP-binding protein YadG
AHKFPPHE_01077	CDS	1119				hypothetical protein
AHKFPPHE_01078	CDS	1308		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
AHKFPPHE_01079	CDS	636				hypothetical protein
AHKFPPHE_01080	CDS	1014	futA1			Iron uptake protein A1
AHKFPPHE_01081	CDS	1689				hypothetical protein
AHKFPPHE_01082	CDS	1668		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
AHKFPPHE_01083	CDS	975				hypothetical protein
AHKFPPHE_01084	CDS	903				hypothetical protein
AHKFPPHE_01085	CDS	795	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
AHKFPPHE_01086	CDS	2139	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
AHKFPPHE_01087	CDS	699				hypothetical protein
AHKFPPHE_01088	CDS	159				hypothetical protein
AHKFPPHE_01089	CDS	486	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
AHKFPPHE_01090	CDS	507	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
AHKFPPHE_01091	CDS	876				hypothetical protein
AHKFPPHE_01092	CDS	2055				hypothetical protein
AHKFPPHE_01093	CDS	1020				hypothetical protein
AHKFPPHE_01094	CDS	978	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
AHKFPPHE_01095	CDS	2172	katG	1.11.1.21	COG0376	Catalase-peroxidase
AHKFPPHE_01096	CDS	1893	htpG		COG0326	Chaperone protein HtpG
AHKFPPHE_01097	CDS	435				hypothetical protein
AHKFPPHE_01098	CDS	471				hypothetical protein
AHKFPPHE_01099	CDS	744				hypothetical protein
AHKFPPHE_01100	CDS	1278	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
AHKFPPHE_01101	CDS	546				hypothetical protein
AHKFPPHE_01102	CDS	1188	mdh	1.1.1.244		NAD-dependent methanol dehydrogenase
AHKFPPHE_01103	CDS	780				hypothetical protein
AHKFPPHE_01104	CDS	2487				hypothetical protein
AHKFPPHE_01105	CDS	729	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
